,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PD1,-,-,-,-,-,-,-,-,SPI4_MOSI,-,-,-,FMC_D3,-,-,EVENTOUT
PD2,-,-,TIM3_ETR,-,-,-,-,-,-,SDIO_CMD,-,-,DCMI_D11,-,-,EVENTOUT
PD3,-,-,-,-,-,SPI2_SCK/I2S2_CK,-,USART2_CTS,SPI4_CS,-,-,-,FMC_D0,-,-,EVENTOUT
PD4,-,-,-,-,-,-,-,USART2_RTS,-,-,-,-,FMC_D1,-,-,EVENTOUT
PD5,-,-,-,-,-,-,-,USART2_TX,-,-,-,-,FMC_D2,-,-,EVENTOUT
PD6,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,USART2_RX,DFSDM1_CKIN3,-,-,-,FMC_D3,-,-,EVENTOUT
PD7,-,-,-,-,-,SPI1_MOSI/I2S1_SD,-,USART2_CK,DFSDM1_DATIN3,SPDIF_RX0,-,-,FMC_D4,-,-,EVENTOUT
PD8,-,-,-,-,-,-,-,USART3_TX,SPI3_MISO,SAI2_SCK_B,-,-,FMC_D13,-,-,EVENTOUT
PD9,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,USART3_RX,SAI2_MCLK_B,-,-,-,FMC_D14,-,-,EVENTOUT
PD10,-,-,-,-,-,-,SPI3_SCK/I2S3_CK,USART3_CK,SAI2_SD_B,-,-,-,FMC_D15,-,-,EVENTOUT
